dish,field_plot,pot_num,rain_trt,germ_seed,fung_seed,plant_description,measure_date,start_date,collect_date,note
B1L1,B1,L1,Live_Rain,4,0,,8/14/2018,7/21/2018,8/14/2018,
B1L1,B1,L1,Live_Rain,1,0,,7/24/2018,7/21/2018,8/14/2018,
B2L1,B2,L1,Live_Rain,3,0,1 dead,8/14/2018,7/21/2018,8/14/2018,
B2L1,B2,L1,Live_Rain,0,0,,7/24/2018,7/21/2018,8/14/2018,
B4L1,B4,L1,Live_Rain,3,5,,8/14/2018,7/21/2018,8/14/2018,
B4L1,B4,L1,Live_Rain,2,0,,7/24/2018,7/21/2018,8/14/2018,
B1L2,B1,L2,Live_Rain,3,1,,8/14/2018,7/21/2018,8/14/2018,
B1L2,B1,L2,Live_Rain,1,0,,7/24/2018,7/21/2018,8/14/2018,
B2L2,B2,L2,Live_Rain,2,3,,8/14/2018,7/21/2018,8/14/2018,
B2L2,B2,L2,Live_Rain,0,0,,7/24/2018,7/21/2018,8/14/2018,
B4L2,B4,L2,Live_Rain,4,0,,8/14/2018,7/21/2018,8/14/2018,
B4L2,B4,L2,Live_Rain,1,0,,7/24/2018,7/21/2018,8/14/2018,
Nano1,Nano,N1,Nano,3,0,,8/14/2018,7/21/2018,8/14/2018,
Nano1,Nano,N1,Nano,1,0,,7/24/2018,7/21/2018,8/14/2018,
Nano2,Nano,N2,Nano,7,1,,8/14/2018,7/21/2018,8/14/2018,
Nano2,Nano,N2,Nano,2,0,,7/24/2018,7/21/2018,8/14/2018,
Nano3,Nano,N3,Nano,2,0,,8/14/2018,7/21/2018,8/14/2018,
Nano3,Nano,N3,Nano,0,0,,7/24/2018,7/21/2018,8/14/2018,
Nano4,Nano,N4,Nano,4,1,heavily colonized seedling now dead,8/14/2018,7/21/2018,8/14/2018,
Nano4,Nano,N4,Nano,1,0,,7/24/2018,7/21/2018,8/14/2018,
B1S1,B1,S1,Sterile_rain,6,0,,8/14/2018,7/21/2018,8/14/2018,
B1S1,B1,S1,Sterile_rain,1,0,,7/24/2018,7/21/2018,8/14/2018,
B1S1,B1,S1,Sterile_rain,4,0,,7/24/2018,7/21/2018,8/14/2018,
B2S1,B2,S1,Sterile_rain,2,2,,8/14/2018,7/21/2018,8/14/2018,
B4S1,B4,S1,Sterile_rain,4,0,,8/14/2018,7/21/2018,8/14/2018,
B4S1,B4,S1,Sterile_rain,0,0,,7/24/2018,7/21/2018,8/14/2018,
B1S2,B1,S2,Sterile_rain,4,2,,8/14/2018,7/21/2018,8/14/2018,
B1S2,B1,S2,Sterile_rain,1,2,,7/24/2018,7/21/2018,8/14/2018,
B2S2,B2,S2,Sterile_rain,7,0,,8/14/2018,7/21/2018,8/14/2018,
B2S2,B2,S2,Sterile_rain,1,0,,7/24/2018,7/21/2018,8/14/2018,
B4S2,B4,S2,Sterile_rain,3,5,,8/14/2018,7/21/2018,8/14/2018,
B4S2,B4,S2,Sterile_rain,1,3,,7/24/2018,7/21/2018,8/14/2018,
B2L1,B2,L1,Live_Rain,3,0,,9/2/2018,8/21/2018,9/18/2018,
B2L1,B2,L1,Live_Rain,3,0,,8/28/2018,8/21/2018,9/18/2018,
B3L1,B3,L1,Live_Rain,1,0,,9/2/2018,8/21/2018,9/18/2018,
B3L1,B3,L1,Live_Rain,1,0,,8/28/2018,8/21/2018,9/18/2018,
B4L1,B4,L1,Live_Rain,2,0,,9/2/2018,8/21/2018,9/18/2018,
B4L1,B4,L1,Live_Rain,1,0,,8/28/2018,8/21/2018,9/18/2018,
L1B2,B2,L1,Live_Rain,4,1,all green,9/18/2018,8/21/2018,9/18/2018,
L1B2,B2,L1,Live_Rain,4,1,NA,9/13/2018,8/21/2018,9/18/2018,
L1B3,B3,L1,Live_Rain,1,2,pale green,9/18/2018,8/21/2018,9/18/2018,fluffy fungi
L1B3,B3,L1,Live_Rain,1,4,NA,9/13/2018,8/21/2018,9/18/2018,
L1B4,B4,L1,Live_Rain,2,1,all brown,9/18/2018,8/21/2018,9/18/2018,
L1B4,B4,L1,Live_Rain,3,1,NA,9/13/2018,8/21/2018,9/18/2018,
B2L2,B2,L2,Live_Rain,4,0,,9/2/2018,8/21/2018,9/18/2018,
B2L2,B2,L2,Live_Rain,4,0,,8/28/2018,8/21/2018,9/18/2018,
B3L2,B3,L2,Live_Rain,5,0,,9/2/2018,8/21/2018,9/18/2018,
B3L2,B3,L2,Live_Rain,3,0,,8/28/2018,8/21/2018,9/18/2018,
B4L2,B4,L2,Live_Rain,5,0,,9/2/2018,8/21/2018,9/18/2018,
B4L2,B4,L2,Live_Rain,5,0,,8/28/2018,8/21/2018,9/18/2018,
L2B2,B2,L2,Live_Rain,4,1,pale green,9/18/2018,8/21/2018,9/18/2018,
L2B2,B2,L2,Live_Rain,4,1,NA,9/13/2018,8/21/2018,9/18/2018,
L2B3,B3,L2,Live_Rain,5,1,all brown,9/18/2018,8/21/2018,9/18/2018,
L2B3,B3,L2,Live_Rain,5,2,NA,9/13/2018,8/21/2018,9/18/2018,
L2B4,B4,L2,Live_Rain,5,1,all brown,9/18/2018,8/21/2018,9/18/2018,
L2B4,B4,L2,Live_Rain,5,2,NA,9/13/2018,8/21/2018,9/18/2018,
Nano1,Nano,N1,Nano,6,2,all brown,9/18/2018,8/21/2018,9/18/2018,
Nano1,Nano,N1,Nano,5,2,NA,9/13/2018,8/21/2018,9/18/2018,
Nano1,Nano,N1,Nano,5,2,,9/2/2018,8/21/2018,9/18/2018,
Nano1,Nano,N1,Nano,5,1,,8/28/2018,8/21/2018,9/18/2018,
Nano2,Nano,N2,Nano,3,3,all brown,9/18/2018,8/21/2018,9/18/2018,
Nano2,Nano,N2,Nano,3,2,NA,9/13/2018,8/21/2018,9/18/2018,
Nano2,Nano,N2,Nano,2,4,,9/2/2018,8/21/2018,9/18/2018,
Nano2,Nano,N2,Nano,2,0,,8/28/2018,8/21/2018,9/18/2018,
Nano3,Nano,N3,Nano,4,2,all brown,9/18/2018,8/21/2018,9/18/2018,
Nano3,Nano,N3,Nano,4,2,NA,9/13/2018,8/21/2018,9/18/2018,
Nano3,Nano,N3,Nano,4,0,,9/2/2018,8/21/2018,9/18/2018,
Nano3,Nano,N3,Nano,3,0,,8/28/2018,8/21/2018,9/18/2018,
Nano4,Nano,N4,Nano,2,2,1 pale green 1 green,9/18/2018,8/21/2018,9/18/2018,
Nano4,Nano,N4,Nano,2,1,NA,9/13/2018,8/21/2018,9/18/2018,
Nano4,Nano,N4,Nano,2,0,,9/2/2018,8/21/2018,9/18/2018,
Nano4,Nano,N4,Nano,1,0,,8/28/2018,8/21/2018,9/18/2018,
B2S1,B2,S1,Sterile_rain,3,2,,9/2/2018,8/21/2018,9/18/2018,
B2S1,B2,S1,Sterile_rain,3,0,,8/28/2018,8/21/2018,9/18/2018,
B3S1,B3,S1,Sterile_rain,4,2,,9/2/2018,8/21/2018,9/18/2018,
B3S1,B3,S1,Sterile_rain,3,1,,8/28/2018,8/21/2018,9/18/2018,
B4S1,B4,S1,Sterile_rain,4,0,,9/2/2018,8/21/2018,9/18/2018,
B4S1,B4,S1,Sterile_rain,3,0,,8/28/2018,8/21/2018,9/18/2018,
S1B2,B2,S1,Sterile_rain,3,5,all brown,9/18/2018,8/21/2018,9/18/2018,
S1B2,B2,S1,Sterile_rain,4,4,NA,9/13/2018,8/21/2018,9/18/2018,
S1B3,B3,S1,Sterile_rain,4,4,all brown,9/18/2018,8/21/2018,9/18/2018,
S1B3,B3,S1,Sterile_rain,4,4,NA,9/13/2018,8/21/2018,9/18/2018,
S1B4,B4,S1,Sterile_rain,4,2,3 pale green,9/18/2018,8/21/2018,9/18/2018,
S1B4,B4,S1,Sterile_rain,3,4,NA,9/13/2018,8/21/2018,9/18/2018,
B2S2,B2,S2,Sterile_rain,2,2,,9/2/2018,8/21/2018,9/18/2018,
B2S2,B2,S2,Sterile_rain,2,0,,8/28/2018,8/21/2018,9/18/2018,
B3S2,B3,S2,Sterile_rain,3,3,,9/2/2018,8/21/2018,9/18/2018,
B3S2,B3,S2,Sterile_rain,1,2,,8/28/2018,8/21/2018,9/18/2018,
B4S2,B4,S2,Sterile_rain,2,0,,9/2/2018,8/21/2018,9/18/2018,
B4S2,B4,S2,Sterile_rain,2,0,,8/28/2018,8/21/2018,9/18/2018,
S2B2,B2,S2,Sterile_rain,2,2,all brown,9/18/2018,8/21/2018,9/18/2018,
S2B2,B2,S2,Sterile_rain,2,2,NA,9/13/2018,8/21/2018,9/18/2018,
S2B3,B3,S2,Sterile_rain,4,5,3 green,9/18/2018,8/21/2018,9/18/2018,
S2B3,B3,S2,Sterile_rain,4,5,NA,9/13/2018,8/21/2018,9/18/2018,
S2B4,B4,S2,Sterile_rain,2,3,all brown,9/18/2018,8/21/2018,9/18/2018,
S2B4,B4,S2,Sterile_rain,2,3,NA,9/13/2018,8/21/2018,9/18/2018,
